,0
0,Aast
1,Abainville
2,Abancourt
3,Abancourt
4,Abaucourt
5,Abaucourt-Hautecourt
6,Abbans-Dessous
7,Abbans-Dessus
8,Abbaretz
9,Abbécourt
10,Abbecourt
11,Abbenans
12,Abbeville
13,Abbéville-la-Rivière
14,Abbéville-lès-Conflans
15,Abbeville-Saint-Lucien
16,Abbévillers
17,Abeilhan
18,Abelcourt
19,Abère
20,Abergement-la-Ronce
21,Abergement-le-Grand
22,Abergement-le-Petit
23,Abergement-lès-Thésy
24,Abidos
25,Abilly
26,Abitain
27,Abjat-sur-Bandiat
28,Ablain-Saint-Nazaire
29,Ablaincourt-Pressoir
30,Ablainzevelle
31,Ablancourt
32,Ableiges
33,Ablis
34,Ablon
35,Ablon-sur-Seine
36,Aboën
37,Aboncourt
38,Aboncourt
39,Aboncourt-Gesincourt
40,Aboncourt-sur-Seille
41,Abondance
42,Abondant
43,Abos
44,Abreschviller
45,Abrest
46,Abriès-Ristolas
47,Abscon
48,Abzac
49,Abzac
50,Accolans
51,Accons
52,Accous
53,Achain
54,Achen
55,Achenheim
56,Achères
57,Achères
58,Achères-la-Forêt
59,Achery
60,Acheux-en-Amiénois
61,Acheux-en-Vimeu
62,Acheville
63,Achey
64,Achicourt
65,Achiet-le-Grand
66,Achiet-le-Petit
67,Achun
68,Achy
69,Acigné
70,Aclou
71,Acon
72,Acoua
73,Acq
74,Acquigny
75,Acquin-Westbécourt
76,Acy
77,Acy-en-Multien
78,Acy-Romance
79,Adaincourt
80,Adainville
81,Adam-lès-Passavant
82,Adam-lès-Vercel
83,Adamswiller
84,Adast
85,Adé
86,Adelange
87,Adelans-et-le-Val-de-Bithaine
88,Adervielle-Pouchergues
89,Adilly
90,Adinfer
91,Adissan
92,Adon
93,Adriers
94,Afa
95,Affieux
96,Affléville
97,Affoux
98,Affracourt
99,Affringues
100,Agassac
101,Agde
102,Agel
103,Agen
104,Agen-d'Aveyron
105,Agencourt
106,Agenville
107,Agenvillers
108,Ageville
109,Agey
110,Aghione
111,Agincourt
112,Agmé
113,Agnac
114,Agnat
115,Agneaux
116,Agnetz
117,Agnez-lès-Duisans
118,Agnicourt-et-Séchelles
119,Agnières
120,Agnin
121,Agnos
122,Agny
123,Agon-Coutainville
124,Agonac
125,Agonès
126,Agonges
127,Agos-Vidalos
128,Agris
129,Agudelle
130,Aguessac
131,Aguilcourt
132,Aguts
133,Agy
134,Ahaxe-Alciette-Bascassan
135,Ahetze
136,Ahéville
137,Ahuillé
138,Ahun
139,Ahuy
140,Aibes
141,Aibre
142,Aïcirits-Camou-Suhast
143,Aiffres
144,Aigaliers
145,Aiglemont
146,Aiglepierre
147,Aigleville
148,Aiglun
149,Aiglun
150,Aignan
151,Aignay-le-Duc
152,Aigne
153,Aigné
154,Aignes
155,Aigneville
156,Aigny
157,Aigondigné
158,Aigre
159,Aigrefeuille
160,Aigrefeuille-d'Aunis
161,Aigrefeuille-sur-Maine
162,Aigremont
163,Aigremont
164,Aigremont
165,Aigremont
166,Aiguebelette-le-Lac
167,Aiguefonde
168,Aigueperse
169,Aigueperse
170,Aigues-Juntes
171,Aigues-Mortes
172,Aigues-Vives
173,Aigues-Vives
174,Aigues-Vives
175,Aigues-Vives
176,Aiguèze
177,Aiguilhe
178,Aiguilles
179,Aiguillon
180,Aiguines
181,Aigurande
182,Ailhon
183,Aillant-sur-Milleron
184,Aillas
185,Ailleux
186,Aillevans
187,Ailleville
188,Aillevillers-et-Lyaumont
189,Aillianville
190,Aillières-Beauvoir
191,Aillon-le-Jeune
192,Aillon-le-Vieux
193,Ailloncourt
194,Ailly
195,Ailly-le-Haut-Clocher
196,Ailly-sur-Noye
197,Ailly-sur-Somme
198,Aimargues
199,Aime-la-Plagne
200,Ainay-le-Château
201,Ainay-le-Vieil
202,Aincille
203,Aincourt
204,Aincreville
205,Aingeray
206,Aingeville
207,Aingoulaincourt
208,Ainharp
209,Ainhice-Mongelos
210,Ainhoa
211,Ainvelle
212,Ainvelle
213,Airaines
214,Aire
215,Aire-sur-l'Adour
216,Aire-sur-la-Lys
217,Airel
218,Airion
219,Airon-Notre-Dame
220,Airon-Saint-Vaast
221,Airoux
222,Airvault
223,Aiserey
224,Aisey-et-Richecourt
225,Aisey-sur-Seine
226,Aisonville-et-Bernoville
227,Aïssey
228,Aisy-sous-Thil
229,Aisy-sur-Armançon
230,Aiti
231,Aiton
232,Aix
233,Aix-en-Ergny
234,Aix-en-Issart
235,Aix-en-Pévèle
236,Aix-en-Provence
237,Aix-la-Fayette
238,Aix-les-Bains
239,Aix-Noulette
240,Aix-Villemaur-Pâlis
241,Aixe-sur-Vienne
242,Aizac
243,Aizanville
244,Aize
245,Aizecourt-le-Bas
246,Aizecourt-le-Haut
247,Aizelles
248,Aizenay
249,Aizier
250,Aizy-Jouy
251,Ajac
252,Ajaccio
253,Ajain
254,Ajat
255,Ajoncourt
256,Ajoux
257,Alaigne
258,Alaincourt
259,Alaincourt
260,Alaincourt-la-Côte
261,Alairac
262,Alan
263,Alando
264,Alata
265,Alba-la-Romaine
266,Alban
267,Albaret-le-Comtal
268,Albaret-Sainte-Marie
269,Albas
270,Albas
271,Albé
272,Albefeuille-Lagarde
273,Albepierre-Bredons
274,Albert
275,Albertacce
276,Albertville
277,Albestroff
278,Albi
279,Albiac
280,Albiac
281,Albias
282,Albières
283,Albiès
284,Albiez-le-Jeune
285,Albiez-Montrond
286,Albignac
287,Albigny-sur-Saône
288,Albine
289,Albitreccia
290,Albon
291,Albon-d'Ardèche
292,Alboussière
293,Albussac
294,Alby-sur-Chéran
295,Alçay-Alçabéhéty-Sunharette
296,Aldudes
297,Alembon
298,Alençon
299,Alénya
300,Aléria
301,Alès
302,Alet-les-Bains
303,Alette
304,Aleu
305,Alex
306,Alexain
307,Aleyrac
308,Alfortville
309,Algajola
310,Algans
311,Algolsheim
312,Algrange
313,Alièze
314,Alignan-du-Vent
315,Alincourt
316,Alincthun
317,Alise-Sainte-Reine
318,Alissas
319,Alix
320,Alixan
321,Alizay
322,Allain
323,Allaines
324,Allainville
325,Allainville
326,Allaire
327,Allamont
328,Allamps
329,Allan
330,Allanche
331,Alland'Huy-et-Sausseuil
332,Allarmont
333,Allas-Bocage
334,Allas-Champagne
335,Allas-les-Mines
336,Allassac
337,Allauch
338,Allègre
339,Allègre-les-Fumades
340,Alleins
341,Allemagne-en-Provence
342,Allemanche-Launay-et-Soyer
343,Allemans
344,Allemans-du-Dropt
345,Allemant
346,Allemant
347,Allemond
348,Allenay
349,Allenc
350,Allenjoie
351,Allennes-les-Marais
352,Allerey
353,Allerey-sur-Saône
354,Allériot
355,Allery
356,Alles-sur-Dordogne
357,Alleuze
358,Allevard
359,Allèves
360,Allex
361,Alleyrac
362,Alleyras
363,Alleyrat
364,Alleyrat
365,Allez-et-Cazeneuve
366,Alliancelles
367,Alliat
368,Allibaudières
369,Allichamps
370,Allier
371,Allières
372,Alligny-Cosne
373,Alligny-en-Morvan
374,Allineuc
375,Allinges
376,Allogny
377,Alloinay
378,Allondans
379,Allondaz
380,Allondrelle-la-Malmaison
381,Allonne
382,Allonne
383,Allonnes
384,Allonnes
385,Allonnes
386,Allons
387,Allons
388,Allonville
389,Allonzier-la-Caille
390,Allos
391,Allouagne
392,Alloue
393,Allouis
394,Allouville-Bellefosse
395,Alluy
396,Alluyes
397,Ally
398,Ally
399,Almayrac
400,Almenêches
401,Almont-les-Junies
402,Alos
403,Alos
404,Alos-Sibas-Abense
405,Aloxe-Corton
406,Alquines
407,Alrance
408,Alsting
409,Altagène
410,Alteckendorf
411,Altenach
412,Altenheim
413,Althen-des-Paluds
414,Altiani
415,Altier
416,Altillac
417,Altkirch
418,Altorf
419,Altrippe
420,Altviller
421,Altwiller
422,Aluze
423,Alvignac
424,Alvimare
425,Alzen
426,Alzi
427,Alzing
428,Alzon
429,Alzonne
430,Amage
431,Amagne
432,Amagney
433,Amailloux
434,Amance
435,Amance
436,Amance
437,Amancey
438,Amancy
439,Amange
440,Amanlis
441,Amanty
442,Amanvillers
443,Amanzé
444,Amarens
445,Amathay-Vésigneux
446,Amayé-sur-Orne
447,Amayé-sur-Seulles
448,Amazy
449,Ambacourt
450,Ambarès-et-Lagrave
451,Ambax
452,Ambazac
453,Ambel
454,Ambenay
455,Ambérac
456,Ambérieu-en-Bugey
457,Ambérieux
458,Ambérieux-en-Dombes
459,Ambernac
460,Amberre
461,Ambert
462,Ambès
463,Ambeyrac
464,Ambialet
465,Ambiegna
466,Ambierle
467,Ambiévillers
468,Ambillou
469,Ambilly
470,Amblainville
471,Amblans-et-Velotte
472,Ambleny
473,Ambléon
474,Ambleteuse
475,Ambleville
476,Ambloy
477,Ambly-Fleury
478,Ambly-sur-Meuse
479,Amboise
480,Ambon
481,Ambonil
482,Ambonnay
483,Ambonville
484,Ambrault
485,Ambres
486,Ambricourt
487,Ambrief
488,Ambrières
489,Ambrières-les-Vallées
490,Ambrines
491,Ambronay
492,Ambrugeat
493,Ambrumesnil
494,Ambrus
495,Ambutrix
496,Amécourt
497,Amel-sur-l'Étang
498,Amelécourt
499,Amélie-les-Bains-Palalda
500,Amendeuix-Oneix
501,Amenoncourt
502,Amenucourt
503,Ames
504,Amettes
505,Ameugny
506,Ameuvelle
507,Amfreville
508,Amfreville-la-Mi-Voie
509,Amfreville-les-Champs
510,Amfreville-les-Champs
511,Amfreville-Saint-Amand
512,Amfreville-sous-les-Monts
513,Amfreville-sur-Iton
514,Amfroipret
515,Amiens
516,Amifontaine
517,Amigny
518,Amigny-Rouy
519,Amillis
520,Amilly
521,Amilly
522,Amirat
523,Ammerschwihr
524,Amné
525,Amnéville
526,Amoncourt
527,Amondans
528,Amont-et-Effreney
529,Amorots-Succos
530,Amou
531,Ampilly-le-Sec
532,Ampilly-les-Bordes
533,Amplepuis
534,Amplier
535,Amponville
536,Ampriani
537,Ampuis
538,Ampus
539,Amuré
540,Amy
541,Anais
542,Anais
543,Anan
544,Ance
545,Anceaumeville
546,Ancelle
547,Ancemont
548,Ancenis-Saint-Géréon
549,Ancerville
550,Ancerville
551,Ancerviller
552,Ancey
553,Anchamps
554,Anché
555,Anché
556,Anchenoncourt-et-Chazel
557,Ancienville
558,Ancier
559,Ancinnes
560,Ancizan
561,Ancône
562,Ancourt
563,Ancourteville-sur-Héricourt
564,Ancretiéville-Saint-Victor
565,Ancretteville-sur-Mer
566,Anctoville-sur-Boscq
567,Ancy
568,Ancy-Dornot
569,Ancy-le-Franc
570,Ancy-le-Libre
571,Andainville
572,Andance
573,Andancette
574,Andé
575,Andechy
576,Andel
577,Andelain
578,Andelaroche
579,Andelarre
580,Andelarrot
581,Andelat
582,Andelnans
583,Andelot-Blancheville
584,Andelot-en-Montagne
585,Andelot-Morval
586,Andelu
587,Andernay
588,Andernos-les-Bains
589,Anderny
590,Andert-et-Condon
591,Andeville
592,Andillac
593,Andilly
594,Andilly
595,Andilly
596,Andilly
597,Andilly-en-Bassigny
598,Andiran
599,Andlau
600,Andoins
601,Andolsheim
602,Andon
603,Andonville
604,Andornay
605,Andouillé
606,Andouillé-Neuville
607,Andouque
608,Andrein
609,Andres
610,Andrest
611,Andrésy
612,Andrezel
613,Andrézieux-Bouthéon
614,Andryes
615,Anduze
616,Anères
617,Anet
618,Angaïs
619,Angé
620,Angeac-Champagne
621,Angeac-Charente
622,Angecourt
623,Angeduc
624,Angely
625,Angeot
626,Angers
627,Angerville
628,Angerville
629,Angerville-Bailleul
630,Angerville-l'Orcher
631,Angerville-la-Campagne
632,Angerville-la-Martel
633,Angervilliers
634,Angeville
635,Angevillers
636,Angicourt
637,Angiens
638,Angirey
639,Angivillers
640,Anglade
641,Anglards-de-Saint-Flour
642,Anglards-de-Salers
643,Anglars
644,Anglars-Juillac
645,Anglars-Nozac
646,Anglars-Saint-Félix
647,Anglefort
648,Anglemont
649,Angles
650,Anglès
651,Angles
652,Angles-sur-l'Anglin
653,Anglesqueville-l'Esneval
654,Anglesqueville-la-Bras-Long
655,Anglet
656,Angliers
657,Angliers
658,Anglure
659,Anglure-sous-Dun
660,Angluzelles-et-Courcelles
661,Angoisse
662,Angomont
663,Angos
664,Angoulême
665,Angoulins
666,Angoumé
667,Angous
668,Angoustrine-Villeneuve-des-Escaldes
669,Angres
670,Angresse
671,Angrie
672,Anguilcourt-le-Sart
673,Angy
674,Anhaux
675,Anhiers
676,Aniane
677,Aniche
678,Anisy
679,Anizy-le-Grand
680,Anjeux
681,Anjou
682,Anjouin
683,Anjoutey
684,Anla
685,Anlezy
686,Anlhiac
687,Annay
688,Annay
689,Annay-la-Côte
690,Annay-sur-Serein
691,Annebault
692,Annecy
693,Annelles
694,Annemasse
695,Annéot
696,Annepont
697,Annequin
698,Annesse-et-Beaulieu
699,Annet-sur-Marne
700,Anneux
701,Anneville-Ambourville
702,Anneville-en-Saire
703,Annéville-la-Prairie
704,Anneville-sur-Scie
705,Anneyron
706,Annezay
707,Annezin
708,Annoire
709,Annois
710,Annoisin-Chatelans
711,Annoix
712,Annonay
713,Annonville
714,Annot
715,Annouville-Vilmesnil
716,Annoux
717,Annoville
718,Annœullin
719,Anor
720,Anos
721,Anost
722,Anould
723,Anoux
724,Anoye
725,Anquetierville
726,Anrosey
727,Ansac-sur-Vienne
728,Ansacq
729,Ansan
730,Ansauville
731,Ansauvillers
732,Anse
733,Anse-Bertrand
734,Ansignan
735,Ansost
736,Ansouis
737,Anstaing
738,Antagnac
739,Anterrieux
740,Anteuil
741,Antezant-la-Chapelle
742,Anthé
743,Anthelupt
744,Anthenay
745,Antheny
746,Antheuil
747,Antheuil-Portes
748,Anthien
749,Anthon
750,Anthy-sur-Léman
751,Antibes
752,Antichan
753,Antichan-de-Frontignes
754,Antignac
755,Antignac
756,Antigny
757,Antigny
758,Antigny-la-Ville
759,Antilly
760,Antilly
761,Antin
762,Antisanti
763,Antist
764,Antogny-le-Tillac
765,Antoigné
766,Antoingt
767,Antonne-et-Trigonant
768,Antony
769,Antran
770,Antras
771,Antras
772,Antrenas
773,Antugnac
774,Antully
775,Anvéville
776,Anvin
777,Any-Martin-Rieux
778,Anzat-le-Luguet
779,Anzeling
780,Anzême
781,Anzex
782,Anzin
783,Anzin-Saint-Aubin
784,Anzy-le-Duc
785,Aoste
786,Aougny
787,Aouste
788,Aouste-sur-Sye
789,Aouze
790,Apach
791,Apatou
792,Apchat
793,Apchon
794,Apinac
795,Appelle
796,Appenai-sous-Bellême
797,Appenans
798,Appenwihr
799,Appeville
800,Appeville-Annebault
801,Appietto
802,Appilly
803,Appoigny
804,Apprieu
805,Appy
806,Apremont
807,Apremont
808,Apremont
809,Apremont
810,Apremont
811,Apremont
812,Apremont-la-Forêt
813,Apremont-sur-Allier
814,Aprey
815,Apt
816,Arabaux
817,Arâches-la-Frasse
818,Aragnouet
819,Aragon
820,Aramits
821,Aramon
822,Aranc
823,Arancou
824,Arandas
825,Arandon-Passins
826,Araujuzon
827,Araules
828,Araux
829,Arbanats
830,Arbas
831,Arbecey
832,Arbellara
833,Arbent
834,Arbéost
835,Arbérats-Sillègue
836,Arbigny
837,Arbigny-sous-Varennes
838,Arbin
839,Arblade-le-Bas
840,Arblade-le-Haut
841,Arbois
842,Arbon
843,Arbonne
844,Arbonne-la-Forêt
845,Arboras
846,Arbori
847,Arbot
848,Arbouans
849,Arboucave
850,Arbouet-Sussaute
851,Arbourse
852,Arboussols
853,Arboys
854,Arbrissel
855,Arbus
856,Arbusigny
857,Arc-en-Barrois
858,Arc-et-Senans
859,Arc-lès-Gray
860,Arc-sous-Cicon
861,Arc-sous-Montenot
862,Arc-sur-Tille
863,Arcachon
864,Arçais
865,Arcambal
866,Arcangues
867,Arçay
868,Arçay
869,Arceau
870,Arcenant
871,Arcens
872,Arces
873,Arces-Dilo
874,Arcey
875,Arcey
876,Archail
877,Archamps
878,Archelange
879,Arches
880,Arches
881,Archettes
882,Archiac
883,Archignac
884,Archignat
885,Archigny
886,Archingeay
887,Archon
888,Arcinges
889,Arcins
890,Arcis-le-Ponsart
891,Arcis-sur-Aube
892,Arcisses
893,Arcizac-Adour
894,Arcizac-ez-Angles
895,Arcizans-Avant
896,Arcizans-Dessus
897,Arcomps
898,Arçon
899,Arcon
900,Arconcey
901,Arçonnay
902,Arconsat
903,Arconville
904,Arcueil
905,Arcy-Sainte-Restitue
906,Arcy-sur-Cure
907,Ardelles
908,Ardelu
909,Ardenais
910,Ardenay-sur-Mérize
911,Ardengost
912,Ardentes
913,Ardes
914,Ardeuil-et-Montfauxelles
915,Ardiège
916,Ardillières
917,Ardin
918,Ardizas
919,Ardoix
920,Ardon
921,Ardon
922,Ardouval
923,Ardres
924,Aregno
925,Areines
926,Arelaune-en-Seine
927,Aren
928,Arengosse
929,Arenthon
930,Arès
931,Aresches
932,Aressy
933,Arette
934,Arfeuille-Châtain
935,Arfeuilles
936,Arfons
937,Argagnon
938,Arganchy
939,Argançon
940,Argancy
941,Argein
942,Argelès-Bagnères
943,Argelès-Gazost
944,Argelès-sur-Mer
945,Argeliers
946,Argelliers
947,Argelos
948,Argelos
949,Argelouse
950,Argences
951,Argences
952,Argens-Minervois
953,Argent-sur-Sauldre
954,Argentan
955,Argentat-sur-Dordogne
956,Argentenay
957,Argenteuil
958,Argenteuil-sur-Armançon
959,Argentières
960,Argentine
961,Argenton
962,Argenton-sur-Creuse
963,Argentonnay
964,Argentré
965,Argentré-du-Plessis
966,Argenvières
967,Argenvilliers
968,Argers
969,Arget
970,Argiésans
971,Argillières
972,Argilliers
973,Argilly
974,Argis
975,Argiusta-Moriccio
976,Argol
977,Argonay
978,Argoules
979,Argueil
980,Arguel
981,Arguenos
982,Argut-Dessous
983,Argy
984,Argœuves
985,Arhansus
986,Aries-Espénan
987,Arifat
988,Arignac
989,Arinthod
990,Arith
991,Arlanc
992,Arlay
993,Arlebosc
994,Arlempdes
995,Arles
996,Arles-sur-Tech
997,Arlet
998,Arleuf
999,Arleux
1000,Arleux-en-Gohelle
1001,Arlos
1002,Armaillé
1003,Armancourt
1004,Armancourt
1005,Armaucourt
1006,Armbouts-Cappel
1007,Armeau
1008,Armendarits
1009,Armentières
1010,Armentières-en-Brie
1011,Armentières-sur-Avre
1012,Armentières-sur-Ourcq
1013,Armentieux
1014,Armes
1015,Armillac
1016,Armissan
1017,Armix
1018,Armous-et-Cau
1019,Armoy
1020,Arnac
1021,Arnac-la-Poste
1022,Arnac-Pompadour
1023,Arnac-sur-Dourdou
1024,Arnage
1025,Arnancourt
1026,Arnas
1027,Arnaud-Guilhem
1028,Arnave
1029,Arnaville
1030,Arnay-le-Duc
1031,Arnay-sous-Vitteaux
1032,Arnayon
1033,Arné
1034,Arnéguy
1035,Arnèke
1036,Arnicourt
1037,Arnières-sur-Iton
1038,Arnos
1039,Arnouville
1040,Arnouville-lès-Mantes
1041,Aroffe
1042,Aromas
1043,Aron
1044,Aroue-Ithorots-Olhaïby
1045,Aroz
1046,Arpaillargues-et-Aureillac
1047,Arpajon
1048,Arpajon-sur-Cère
1049,Arpavon
1050,Arpenans
1051,Arpheuilles
1052,Arpheuilles
1053,Arpheuilles-Saint-Priest
1054,Arphy
1055,Arquenay
1056,Arques
1057,Arques
1058,Arques
1059,Arques-la-Bataille
1060,Arquettes-en-Val
1061,Arquèves
1062,Arquian
1063,Arracourt
1064,Arradon
1065,Arraincourt
1066,Arrancourt
1067,Arrancy
1068,Arrancy-sur-Crusnes
1069,Arrans
1070,Arras
1071,Arras-en-Lavedan
1072,Arras-sur-Rhône
1073,Arrast-Larrebieu
1074,Arraute-Charritte
1075,Arraye-et-Han
1076,Arrayou-Lahitte
1077,Arre
1078,Arreau
1079,Arrelles
1080,Arrembécourt
1081,Arrènes
1082,Arrens-Marsous
1083,Arrentès-de-Corcieux
1084,Arrentières
1085,Arrest
1086,Arreux
1087,Arriance
1088,Arricau-Bordes
1089,Arrien
1090,Arrien-en-Bethmale
1091,Arrigas
1092,Arrigny
1093,Arro
1094,Arrodets
1095,Arrodets-ez-Angles
1096,Arromanches-les-Bains
1097,Arronnes
1098,Arronville
1099,Arros-de-Nay
1100,Arrosès
1101,Arrouède
1102,Arrout
1103,Arry
1104,Arry
1105,Ars
1106,Ars
1107,Ars-en-Ré
1108,Ars-Laquenexy
1109,Ars-les-Favets
1110,Ars-sur-Formans
1111,Ars-sur-Moselle
1112,Arsac
1113,Arsac-en-Velay
1114,Arsague
1115,Arsans
1116,Arsonval
1117,Arsure-Arsurette
1118,Arsy
1119,Art-sur-Meurthe
1120,Artagnan
1121,Artaise-le-Vivier
1122,Artaix
1123,Artalens-Souin
1124,Artannes-sur-Indre
1125,Artannes-sur-Thouet
1126,Artas
1127,Artassenx
1128,Artemare
1129,Artemps
1130,Artenay
1131,Arthaz-Pont-Notre-Dame
1132,Arthel
1133,Arthémonay
1134,Arthenac
1135,Arthès
1136,Arthez-d'Armagnac
1137,Arthez-d'Asson
1138,Arthez-de-Béarn
1139,Arthezé
1140,Arthies
1141,Arthon
1142,Arthonnay
1143,Arthun
1144,Artigat
1145,Artignosc-sur-Verdon
1146,Artigue
1147,Artigueloutan
1148,Artiguelouve
1149,Artiguemy
1150,Artigues
1151,Artigues
1152,Artigues
1153,Artigues
1154,Artigues-près-Bordeaux
1155,Artins
1156,Artix
1157,Artix
1158,Artolsheim
1159,Artonne
1160,Artres
1161,Artzenheim
1162,Arudy
1163,Arue
1164,Arvert
1165,Arveyres
1166,Arvière-en-Valromey
1167,Arvieu
1168,Arvieux
1169,Arvigna
1170,Arvillard
1171,Arville
1172,Arvillers
1173,Arx
1174,Arzacq-Arraziguet
1175,Arzal
1176,Arzano
1177,Arzembouy
1178,Arzenc-d'Apcher
1179,Arzenc-de-Randon
1180,Arzens
1181,Arzillières-Neuville
1182,Arzon
1183,Arzviller
1184,Asasp-Arros
1185,Ascain
1186,Ascarat
1187,Aschbach
1188,Aschères-le-Marché
1189,Asco
1190,Ascou
1191,Ascoux
1192,Ascros
1193,Asfeld
1194,Aslonnes
1195,Asnan
1196,Asnans-Beauvoisin
1197,Asnelles
1198,Asnières
1199,Asnières-en-Bessin
1200,Asnières-en-Montagne
